GEOID,CensusTract,State,County,Urban,Pop2010,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_Vehicle
04013104212,04013104212,Arizona,Maricopa County,1,6174,0,8.541734329327701,70098.0,0,0,0
04013104214,04013104214,Arizona,Maricopa County,1,2312,0,8.146897425073869,83482.0,0,0,0
04013104215,04013104215,Arizona,Maricopa County,1,4026,0,13.891102257636101,73516.0,0,0,0
04013104216,04013104216,Arizona,Maricopa County,1,4771,0,9.17365696948064,64528.0,0,0,0
04013104217,04013104217,Arizona,Maricopa County,1,4882,0,9.42614868862157,83313.0,0,0,0
04013104218,04013104218,Arizona,Maricopa County,1,3941,0,14.578069732188,71750.0,0,0,0
04013104219,04013104219,Arizona,Maricopa County,1,2982,0,8.15313718539525,73083.0,0,0,0
04013104221,04013104221,Arizona,Maricopa County,1,5864,0,13.628926701570702,60162.0,0,0,0
04013104222,04013104222,Arizona,Maricopa County,1,5915,0,11.4383338756915,72000.0,0,0,0
04013104223,04013104223,Arizona,Maricopa County,1,1857,0,5.49188156638013,119375.0,0,0,0
04013104224,04013104224,Arizona,Maricopa County,1,5898,0,15.450035435861102,68684.0,0,0,0
04013104225,04013104225,Arizona,Maricopa County,1,3699,0,11.0761154855643,71821.0,0,0,0
04013104226,04013104226,Arizona,Maricopa County,1,4373,0,10.645087759288801,64535.0,0,0,0
04013104227,04013104227,Arizona,Maricopa County,1,2059,1,20.5724508050089,60000.0,0,0,0
04013104301,04013104301,Arizona,Maricopa County,1,3300,0,12.8353498158864,75530.0,0,0,0
04013104302,04013104302,Arizona,Maricopa County,1,3209,1,29.5326645461219,41100.0,1,1,1
04013104401,04013104401,Arizona,Maricopa County,1,5017,1,11.8396324911255,44926.0,1,1,1
04013104402,04013104402,Arizona,Maricopa County,1,2538,1,22.4594363791631,59907.0,0,1,0
04013104501,04013104501,Arizona,Maricopa County,1,3697,1,46.051660516605196,29338.0,0,1,1
04013104502,04013104502,Arizona,Maricopa County,1,5107,1,39.731893502141105,30021.0,1,1,1
04013104600,04013104600,Arizona,Maricopa County,1,4253,1,19.210220673635302,51439.0,0,1,0
04013104701,04013104701,Arizona,Maricopa County,1,2474,1,30.967952910399,31795.0,0,1,0
04013104702,04013104702,Arizona,Maricopa County,1,4441,1,29.5491707544966,36691.0,0,1,1
04013104801,04013104801,Arizona,Maricopa County,1,3619,0,10.2983362019507,127321.0,0,0,0
